ticker,company_name,sector,business_nature,pass,score,technical_pass,fundamental_pass,close,ma50,ma150,ma200,high_52w,low_52w,ret_63d,eps_yoy_value,rev_yoy_value,roe_3y_avg_value,eps_ge_min_qtrs,rev_ge_min_qtrs,eps_consec_qtrs,rev_consec_qtrs,annual_revenue_uptrend,eps_pass,rev_pass,roe_pass,roe_std,roe_stable,roe_quality,audit_close_stooq,audit_close_diff_pct,audit_eps_yoy_sec,audit_rev_yoy_sec,audit_roe_avg_sec,fundamentals_used,fundamentals_source,note
VRT,Vertiv,Industrials,Electrical Components & Equipment,True,7,True,True,307.3399963378906,256.92188934326174,199.355437113444,182.35529327392578,310.510009765625,67.486572265625,0.7816921703793669,121.73913043478262,29.047504219918018,19.1845124373387,4,4,4,4,False,True,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
FIX,Comfort Systems USA,Industrials,Construction & Engineering,True,7,True,True,1650.469970703125,1414.7718432617187,1102.2265254720053,989.1702270507812,1650.47998046875,327.245849609375,0.5135351335401059,101.71149144254281,35.23587399013224,60.58883429081332,4,2,4,2,True,True,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
JBL,Jabil,Information Technology,Electronic Manufacturing Services,True,7,True,True,321.69000244140625,267.54413970947263,235.81276285807292,231.133995513916,321.69000244140625,129.54795837402344,0.27099743838468116,96.22641509433963,23.097502972651608,57.66192137913558,4,3,4,2,True,True,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,True,7,True,True,396.94000244140625,358.2733221435547,285.7173595174154,258.76181289672854,399.489990234375,134.35804748535156,0.24556563511213558,75.17241379310346,24.026910139356072,38.94197617584319,3,3,2,3,False,True,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,True,7,True,True,267.6000061035156,231.58426361083986,187.9072248840332,165.97991291046142,272.4100036621094,61.93619155883789,0.2319888523117466,36.95652173913042,-18.554988524101855,60.78126703993752,3,1,3,1,True,True,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,True,7,True,True,255.69000244140625,244.70720092773436,215.92815083821614,206.93892280578612,265.1099853515625,119.1773910522461,0.14080288984245692,17.28395061728394,0.9931895573212168,31.174259735436905,3,1,3,1,True,True,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,True,7,True,True,299.94000244140625,288.6080621337891,263.33385701497394,257.54542304992674,309.3800048828125,210.3145294189453,0.11021917953364957,-46.82835820895522,291.40371430217596,24.904902855045066,3,4,3,4,True,True,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
GL,Globe Life,Financials,Life & Health Insurance,True,7,True,True,151.86000061035156,142.62304016113282,138.90341115315755,137.37415271759033,151.86000061035156,116.17938232421875,0.0886689592353116,37.50000000000002,3.9563503542308087,21.503855807742216,3,2,2,1,True,True,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,True,7,True,True,127.5,125.45243225097656,114.45351414998372,110.36279369354249,133.61578369140625,90.38794708251953,0.07182610224885755,35.08771929824563,5.842394509045445,21.640240818344722,4,2,4,1,True,True,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",True,7,True,True,386.8800048828125,355.1960003662109,345.09000630696613,331.9487937927246,386.8800048828125,199.71343994140625,0.050905128446378844,24.892703862660937,12.246326102169359,29.861494338025196,3,1,2,1,True,True,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
